name1,name2,cat_id,name1_clean,name2_clean
کاپشن کوهنوردی پر سنگین نورث فیس,,0,کاپشن کوهنوردی سنگین نورث فیس,nan
پالتو خزدار مردانه مارک اصلی,,0,پالتو خزدار مردانه مارک اصلی,nan
کاپشن مردانه مدل Bako,,0,کاپشن مردانه مدل Bako,nan
کاپشن سالامون salomon پارچه گورتکس کره ای اعلا ضد آب و بادگیر,,0,کاپشن سالامون salomon پارچه گورتکس کرهای اعلا ضد آب بادگیر,nan
کاپشن‌‌‌ نظامی‌‌‌ آمریکایی‌‌‌ سبز,,0,کاپشن نظامی آمریکایی سبز,nan
کاپشن۱۱۲۲,,0,کاپشن ۱۱۲۲,nan
İÇİ KÜRKLÜ KANGURU CEP MONT SU GEÇİRMEZ UNISEX,,0,KRKL KANGURU CEP MONT SU GERMEZ UNISEX,nan
کاپشن دوپوش ضد آب فورکلاز,,0,کاپشن دوپوش ضد آب فورکلاز,nan
کاپشن زمستانی مدل آلفا,,0,کاپشن زمستانی مدل آلفا,nan
نیم پالتو ۶ دکمه,,0,نیم پالتو ۶ دکمه,nan
کاپشن ضد آب مردانه سه زیپ پارچه کره‌ای کتان مدل PC,,0,کاپشن ضد آب مردانه زیپ پارچه کرهای کتان مدل PC,nan
کاپشن کوهنوردی تاکتیکال | کاپشن اصل کوهنوردی | کاپشن کوهنوردی اصل | کاپشن کوهنوردی خارجی اصل | پوشاک خارجی | آمریکایی | اروپایی | عربی | اماراتی | دبی | محصولات پوشاک اصل | محصولات پوشاک اورجینال | کاپشن کوهنوردی اورجینال | کاپشن مردانه,,0,کاپشن کوهنوردی تاکتیکال کاپشن اصل کوهنوردی کاپشن کوهنوردی اصل کاپشن کوهنوردی خارجی اصل پوشاک خارجی آمریکایی اروپایی عربی اماراتی دبی محصولات پوشاک اصل محصولات پوشاک اورجینال کاپشن کوهنوردی اورجینال کاپشن مردانه,nan
کاپشن پلار مردانه اسنوهاک مدل 9588,,0,کاپشن پلار مردانه اسنوهاک مدل ۹۵۸۸,nan
کاپشن برزنتی اورجینال برند sologanc - Medium ا Sologanc,Sologanc,0,کاپشن برزنتی اورجینال برند sologanc Medium ا Sologanc,Sologanc
کاپشن هوشمند شیائومی مدل Temperature Control Jacket ا Xiaomi Ninetygo Smart Heated Down Parka,Xiaomi Ninetygo Smart Heated Down Parka,0,کاپشن هوشمند شیائومی مدل Temperature Control Jacket ا Xiaomi Ninetygo Smart Heated Down Parka,Xiaomi Ninetygo Smart Heated Down Parka
کاپشن سلیکونی مردانه و زنانه جنس به ضمانت علی بابا ، کاپشن پاییزی سلیکونی خوش پوش رنگ بندی و سایز بندی کامل,,0,کاپشن سلیکونی مردانه زنانه جنس ضمانت علیبابا ، کاپشن پاییزی سلیکونی خوشپوش رنگبندی سایز,nan
کاپشن the north face,,0,کاپشن the north face,nan
کاپشن مردانه دورویه,,0,کاپشن مردانه دورویه,nan
کاپشن کوهنوردی دوپوش؛ با مارک جک لاو JEKELAW مدل: دو پوش پر کد: JKW-622 مردانه,,0,کاپشن کوهنوردی دوپوش ؛ مارک جک لاو JEKELAW مدل پوش کد JKW ۶۲۲ مردانه,nan
کاپشن مردانه مشکی شمعی198639,,0,کاپشن مردانه مشکی شمعی ۱۹۸۶۳۹,nan
کاپشن چریکی آدیداس,,0,کاپشن چریکی آدیداس,nan
بادگیر مشتی نورث فیس ا North Face Fist Windshield Pro-white,North Face Fist Windshield Pro-white,0,بادگیر مشتی نورث فیس ا North Face Fist Windshield Prowhite,North Face Fist Windshield Prowhite
کاپشن خارجی ۱۲۲۱,,0,کاپشن خارجی ۱۲۲۱,nan
نیم پالتو مردانه,,0,نیم پالتو مردانه,nan
شکت فوتر,,0,شکت فوتر,nan
کاپشن کار زمستانی (سبز یشمی),,0,کاپشن کار زمستانی سبز یشمی,nan
کاپشن شلوار مردانه مدل دومان,,0,کاپشن شلوار مردانه مدل دومان,nan
کاپشن گورتکس کمت لایت میلت | MIV7739 KAMET LIGHT GJM,,0,کاپشن گورتکس کمت لایت میلت MIV ۷۷۳۹ KAMET LIGHT GJM,nan
کاپشن داخل خز,,0,کاپشن داخل خز,nan
کاپشن طیفی,,0,کاپشن طیفی,nan
کاپشن کوهنوردی مردانه کلمبیا مدل OMNI TECH,,0,کاپشن کوهنوردی مردانه کلمبیا مدل OMNI TECH,nan
کاپشن کوهنوردی مردانه نورث فیس مدل HX 208649,,0,کاپشن کوهنوردی مردانه نورث فیس مدل HX ۲۰۸۶۴۹,nan
کاپشن مردانه مدل AML-241-4604,,0,کاپشن مردانه مدل AML ۲۴۱ ۴۶۰۴,nan
کاپشن بلند مردانه - مشکی,,0,کاپشن بلند مردانه مشکی,nan
کاپشن مردانه برند CB Sports,,0,کاپشن مردانه برند CB Sports,nan
کاپشن کار زمستانی (مشکی),,0,کاپشن کار زمستانی مشکی,nan
کاپشن تارتان بلند (H98),,0,کاپشن تارتان بلند H ۹۸,nan
کاپشن مردانه چرم کروکو مدل لیونارد,,0,کاپشن مردانه چرم کروکو مدل لیونارد,nan
کاپشن مردانه کارتال مدا ICC,,0,کاپشن مردانه کارتال مدا ICC,nan
کاپشن پر مردانه طوسی کد 4566,,0,کاپشن مردانه طوسی کد ۴۵۶۶,nan
کاپشن چرم,,0,کاپشن چرم,nan
کاپشن مردانه ساده طوسی تیره مدلAidin,,0,کاپشن مردانه ساده طوسی تیره مدلAidin,nan
کاپشن جین ترک - آبی / 4xl,,0,کاپشن جین ترک آبی ۴ xl,nan
پافر,,0,پافر,nan
پافر شمعی مردانه G-STAR رنگ طوسی سربی,,0,پافر شمعی مردانه GSTAR رنگ طوسی سربی,nan
پالتو فوتر ترک,,0,پالتو فوتر ترک,nan
اورکت خزدار,,0,اورکت خزدار,nan
لباس کاتا آدیداس 12 اونس اصل (adidas kata gi),,0,لباس کاتا آدیداس ۱۲ اونس اصل adidas kata gi,nan
HORSEFEATHERS CORDON II STORM,,0,HORSEFEATHERS CORDON II STORM,nan
کاپشن چرم,,0,کاپشن چرم,nan
بادگیر بلوز شلوار خزدار درجه 1 طرح چرم فری سایز ضدآب ضد باد,,0,بادگیر بلوز شلوار خزدار درجه ۱ طرح چرم فری سایز ضدآب ضد باد,nan
HORSEFEATHERS HALEN II INSULATED FLAME RED,,0,HORSEFEATHERS HALEN II INSULATED FLAME RED,nan
کاپشن,,0,کاپشن,nan
کاپشن برشکا,,0,کاپشن برشکا,nan
بادگیر بلوز شلوار خزدار کرتکس ژاپن بدون درز درجه 1,,0,بادگیر بلوز شلوار خزدار کرتکس ژاپن درز درجه ۱,nan
پافر,,0,پافر,nan
کاپشن ضدآب و ضدباد برند CRIVIT ا Waterproof and windproof jacket CRIVIT,Waterproof and windproof jacket CRIVIT,0,کاپشن ضدآب ضدباد برند CRIVIT ا Waterproof and windproof jacket CRIVIT,Waterproof and windproof jacket CRIVIT
کاپشن شمعی مردانه PHILIPP PLEIN رنگ سرمه ای,,0,کاپشن شمعی مردانه PHILIPP PLEIN رنگ سرمهای,nan
کاپشن فرم دو آستر تمام فسفری ستادی اورژانس,,0,کاپشن فرم آستر فسفری ستادی اورژانس,nan
پافر مردانه ی دو رو - زرد و مشکی / 3XL,,0,پافر مردانهی زرد مشکی ۳ XL,nan
کاپشن زمستانی | پارچه شمعی | رنگ سبز تیره آستر پشم شیشه [ویدئو] کد 30758,,0,کاپشن زمستانی پارچه شمعی رنگ سبز تیره آستر پشمشیشه ویدئو کد ۳۰۷۵۸,nan
کاپشن و بارونی,,0,کاپشن بارونی,nan
کاپشن کتان ا Jeep 8642,Jeep 8642,0,کاپشن کتان ا Jeep ۸۶۴۲,Jeep ۸۶۴۲
کاپشن شمعی مردانه مدل DEFACTO رنگ مشکی,,0,کاپشن شمعی مردانه مدل DEFACTO رنگ مشکی,nan
کاپشن میکرو ضد آب نیم تنه یقه خزدار - مشکی / XL,,0,کاپشن میکرو ضد آب نیمتنه یقه خزدار مشکی XL,nan
HORSEFEATHERS SPENCER BURGUNDY BLUE MIRAGE,,0,HORSEFEATHERS SPENCER BURGUNDY BLUE MIRAGE,nan
کاپشن مردانه رنگ زرشکی,,0,کاپشن مردانه رنگ زرشکی,nan
کاپشن مردانه - L,,0,کاپشن مردانه L,nan
کاپشن مردانه Fashion,,0,کاپشن مردانه Fashion,nan
کاپشن مردانه Kiabi,,0,کاپشن مردانه Kiabi,nan
کاپشن خلبانی - شمعی سه لایه / مشکی / M,,0,کاپشن خلبانی شمعی لایه مشکی M,nan
کاپشن کراپ,,0,کاپشن کراپ,nan
کاپشن مردانه طرح چریکی,,0,کاپشن مردانه طرح چریکی,nan
کاپشن اور,,0,کاپشن اور,nan
برند میلت ا Millet,Millet,0,برند میلت ا Millet,Millet
پافر,,0,پافر,nan
کاپشن مردانه برشکا - مشکی / L,,0,کاپشن مردانه برشکا مشکی L,nan
OAKLEY HOLLY ANORAK BLACKOUT,,0,OAKLEY HOLLY ANORAK BLACKOUT,nan
پانجو جا کوله داربرند کمپسور,,0,پانجو کوله داربرند کمپسور,nan
کاپشن مردانه A003,,0,کاپشن مردانه A ۰۰۳,nan
کاپشن اورجینال THE NORTH FACE,,0,کاپشن اورجینال THE NORTH FACE,nan
کاپشن شمعی مردانه مدل DEFACTO رنگ طوسی,,0,کاپشن شمعی مردانه مدل DEFACTO رنگ طوسی,nan
کاپشن سیلیکونی ضد آب (اصل)یقه طرحدار استین گت دار و انگشتی کار کاملا آستر کشی شده و گرم,,0,کاپشن سیلیکونی ضد آب اصل یقه طرحدار استین گت انگشتی کار آستر کشی گرم,nan
کاپشن مردانه کتان - کرمی / L ا Kapshan mardaneh katan,Kapshan mardaneh katan,0,کاپشن مردانه کتان کرمی L ا Kapshan mardaneh katan,Kapshan mardaneh katan
